sona_id,red_jar_percentage,green_jar_percentage,red_jar_initial_probability,red_jar_initial_confidence,green_jar_initial_probability,green_jar_initial_confidence,experiment_start_time,experiment_end_time,demographics_gender,demographics_academic_year,demographics_major,demographics_minor,trial_type,phase,trial_number,timestamp,jar_type,jar_percentage,drawn_ball,ball_sequence,ball_sequence_length,estimated_probability,confidence,reaction_time,sample_balls,correct_jar,incorrect_jar,selected_jar,is_correct
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,11,2026-02-24T15:08:10.767+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",11,50,5,6426,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,12,2026-02-24T15:08:18.184+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",12,50,5,5876,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,13,2026-02-24T15:08:24.834+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",13,50,5,5111,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,14,2026-02-24T15:08:34.55+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",14,50,5,8176,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,15,2026-02-24T15:08:51.45+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",15,50,5,15359,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,16,2026-02-24T15:08:59.033+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",16,50,5,6043,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,17,2026-02-24T15:09:05.45+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",17,50,5,4876,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,18,2026-02-24T15:09:12.2+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",18,45,5,5210,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,19,2026-02-24T15:09:20.633+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",19,40,5,6892,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,20,2026-02-24T15:09:37.317+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",20,40,5,15143,,,,,
